inzodum,monza,nyck de vries get point unless car explodes instantaneously end nicholas latifi man dragging williams back grid single handedly year seems like,17,1662906231.0
inzoq68,monza,oh god close finish nailbiter,18,1662906354.0
inzoxyi,monza,lol de vries seat today,16,1662906435.0
inzp84h,monza,give nyck latifi seat already bruh,18,1662906548.0
inzqr96,monza,quickly muted crowd booing max lol,15,1662907146.0
inzqslt,monza,cut believe sound mixer trusted crowd enough turn mics back,18,1662907160.0
inzbagn,monza,andrea bocelli one beautiful voice life time done dirty,54,1662900398.0
inzigow,monza,typical mclaren fucking daniel lando strategy,49,1662903835.0
inzimh2,monza,wake babe danny fucked mclaren time,52,1662903902.0
inziru9,monza,every time daniel ahead season either team ordered switch done fucking stupid strategy unbelievable,48,1662903963.0
inzbcep,monza,audio technician dude observing 5 minute silence instead,15,1662900428.0
inzbt16,monza,break heart ferraris job,16,1662900659.0
inzcdt2,monza,inhales tun tun tun tun tun tun tun tuuuuuuuuuuuuuuuuuuuuuuuuunnn tun tun tun tun tun tun tun tuuuuuuuuuuuuuuuuuuuuuuuunnnnnnnnnnnnnnnnnnnn,16,1662900962.0
inzg8j6,monza,leclerc radio arrived,15,1662902854.0
inzgupc,monza,nyck de vries showing deserves grid others,16,1662903122.0
inzih40,monza,mclaren fucking danny,15,1662903841.0
inzih59,monza,yep mclaren fucked ricciardo,16,1662903841.0
inziitz,monza,dont danny,16,1662903860.0
inzkdjy,monza,double overtake lewis cash money,17,1662904642.0
inzkf9s,monza,nyck score point debut race end latifi standing gonna lose,16,1662904660.0
inzknyg,monza,devries dotd,17,1662904760.0
inzkowq,monza,pace red bull could literally strategy win max pace,18,1662904771.0
inzkvhz,monza,tbh de vries good job latifi need go 3 season someone like unacceptable seat scarce,17,1662904844.0
inzlfvd,monza,mick big pp braking,16,1662905076.0
inzmxk8,monza,ferrari hire minion race pitstops clean,16,1662905684.0
inznmiu,monza,understand premier racing series plan remove car every inch track plan immediately put action car stop marshall waiting next car waving hand joke,16,1662905948.0
inznvfq,monza,nice include free parade race,16,1662906042.0
inznyzi,monza,called sc immediately obvious waiting top two come could well enough time,16,1662906079.0
inzo3n0,monza,joke 5 6 lap stopped car,15,1662906127.0
inzo7d9,monza,finish line crossed aston martin mark respect queen,16,1662906166.0
inzo9ea,monza,said last year race red flagged safety car last 5 lap imo saying case today otherwise could argued marshall could intentionally delay clearing incident benefit certain driver point making gamble driver pit ruined fan could also argue put unnecessary pressure driver hurry crash red flagged abu dhabi red flagged today,16,1662906187.0
inzodep,monza,mercedes telling u race finish behind safety car,16,1662906226.0
inzojgp,monza,de vries 9th love see,15,1662906285.0
inzopoh,monza,hey guy know ending wr wanted great job nick de vries,17,1662906348.0
inzp035,monza,welp nyck brought point first f1 race x200b latifi alright,16,1662906458.0
inzp2ci,monza,de vries fucking baller hat man,16,1662906482.0
inzpi4f,monza,lmaooo booing got louder max came tv,16,1662906662.0
inzqmpf,monza,frantically looking crowd noise dial,16,1662907097.0
inzbbtt,monza,forgot turn volume anthem,15,1662900419.0
inzbe8n,monza,ah yes let one best singer world perform national anthem turn microphone genius,14,1662900455.0
inzbews,monza,damn bocelli dirty,15,1662900465.0
inzbgyl,monza,one best anthem year sung absolute legend audio fucked typical,15,1662900495.0
inzdqet,monza,full screen replay atrocious one day gonna come back leader upside shit,16,1662901667.0
inzdse3,monza,lando still minute silence maj start,16,1662901695.0
inze3bk,monza,point max could start twentieth every race still comfortably win every race,16,1662901849.0
inzevcz,monza,sainz like fuck drs train,15,1662902243.0
inzg7jc,monza,schumacher overtaken magnussen gunther cry,16,1662902842.0
inzg7m6,monza,tired chuck tired,15,1662902843.0
inzg7u3,monza,hear circus music charles definitely,14,1662902846.0
inzgbo1,monza,thinking dnf think,15,1662902893.0
inzgwuq,monza,nothing pay driver latifi right race f1,16,1662903149.0
inzifzp,monza,lol mclaren,14,1662903827.0
inzisut,monza,ngl de vries driving pretty well,15,1662903974.0
inzjzt7,monza,max faster medium sainz softs,15,1662904491.0
inzjzv1,monza,max pulling away lol,14,1662904491.0
inzkaim,monza,lewis move beautiful,15,1662904609.0
inzktki,monza,man de vries well latifi need gtfo asap,16,1662904823.0
inzkzzc,monza,guy one ferrari rb rocketship nothing smart least try alt strategy,16,1662904895.0
inzlciq,monza,sexy mick really sexy,16,1662905040.0
inzlgdh,monza,steiner shamble,15,1662905082.0
inzlh5p,monza,honestly highlight race mick pas haha,16,1662905090.0
inzlwhg,monza,nice another 50 lap charles catch max,15,1662905266.0
inznkh6,monza,finishing safety car icing cake boring as race,15,1662905926.0
inznnlv,monza,something coming tree pick car prepared f1 eldritch horror crossover,15,1662905959.0
inznu3j,monza,real nice race director let finish sc,15,1662906028.0
inznujv,monza,take fucking long organization mess,15,1662906033.0
inznuym,monza,went sc lapping,16,1662906037.0
inznx92,monza,sc took 7 lap race bit ridiculous,15,1662906061.0
inznxfu,monza,btw nyck score point plural,15,1662906063.0
inznxw5,monza,decent start boring middle part worst ending borefest,15,1662906068.0
inzo2a1,monza,least one aston martin reaching finish line today,15,1662906113.0
inzo2d0,monza,de vries front latifi standing,15,1662906114.0
inzo9yw,monza,least devries get point first race,15,1662906192.0
inzoc21,monza,red flagged thing right away standing start,14,1662906213.0
inzoi9s,monza,dr vries going finish season ahead latifi lol,15,1662906274.0
inzok6i,monza,called safety procedure went safetying,16,1662906293.0
inzoooa,monza,nyck point first race,16,1662906338.0
inzoqf9,monza,boo loud,15,1662906356.0
